#Peak name;#Line name;#Position (eV);#Strength;#Fit position?;#Fit peak?
Elastic;El;8000.;1.;no;yes
Compton;Co;7850.;1.;yes;yes
EscEl;EscEl;6260;1.;no;yes
Ar;Ka3;2879.6;0.00019364;no;yes
Ar;Ka2;2955.3;0.295104;no;yes
Ar;Ka1;2957.5;0.587856;no;yes
Ar;Kb3;3190.0;0.0398725;no;yes
Ar;Kb1;3190.2;0.0769739;no;yes
Cd;Lb4;3365.4;0.315563;no;yes
Cd;Lb3;3399.6;0.495856;no;yes
Cd;Lg2;3954.1;0.0833038;no;yes
Cd;Lg3;3954.1;0.105278;no;yes
Cd;Ln;2955.0;0.0308225;no;yes
Cd;Lb1;3315.1;0.876377;no;yes
Cd;Lg1;3715.3;0.0928004;no;yes
Cl;Ka3;2552.0;0.000183101;no;yes
Cl;Ka2;2620.0;0.295458;no;yes
Cl;Ka1;2622.0;0.588561;no;yes
Cl;Kb3;2812.0;0.0395148;no;yes
Cl;Kb1;2812.0;0.0762834;no;yes
Cd;Ll;2766.0;0.0315593;no;yes
Cd;La2;3126.1;0.085446;no;yes
Cd;La1;3132.8;0.7684;no;yes
Cd;Lb6;3428.2;0.00386505;no;yes
Cd;Lb2,15;3526.3;0.11073;no;yes
Ca;Ka3;3600.1;0.000214641;no;yes
Ca;Ka2;3688.8;0.294399;no;yes
Ca;Ka1;3692.3;0.586452;no;yes
Ca;Kb3;4013.1;0.0405853;no;yes
Ca;Kb1;4013.1;0.0783499;no;yes
Mn;Ka3;5769.9;0.000265963;no;yes
Mn;Ka2;5889.1;0.293941;no;yes
Mn;Ka1;5900.3;0.58134;no;yes
Mn;Kb3;6491.8;0.042234;no;yes
Mn;Kb1;6491.8;0.0815329;no;yes
Mn;Kb5;6537.0;0.000685981;no;yes
Fe;Ka3;6267.4;0.000276096;no;yes
Fe;Ka2;6392.1;0.294023;no;yes
Fe;Ka1;6405.2;0.580277;no;yes
Fe;Kb3;7059.3;0.0425566;no;yes
Fe;Kb1;7059.3;0.0821556;no;yes
Fe;Kb5;7110.0;0.000712115;no;yes
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
